code,mard_code,hex,r,g,b
A1,Mard_A1,#FAF4C8,250,244,200
A2,Mard_A2,#FFFFD5,255,255,213
A3,Mard_A3,#FEFF8B,254,255,139
A4,Mard_A4,#FBED56,251,237,86
A5,Mard_A5,#F4D738,244,215,56
A6,Mard_A6,#FEAC4C,254,172,76
A7,Mard_A7,#FE8B4C,254,139,76
A8,Mard_A8,#FFDA45,255,218,69
A9,Mard_A9,#FF995B,255,153,91
A10,Mard_A10,#F77C31,247,124,49
A11,Mard_A11,#FFDD99,255,221,153
A12,Mard_A12,#FE9F72,254,159,114
A13,Mard_A13,#FFC365,255,195,101
A14,Mard_A14,#FD543D,253,84,61
A15,Mard_A15,#FFF365,255,243,101
A16,Mard_A16,#FFFF9F,255,255,159
A17,Mard_A17,#FFE36E,255,227,110
A18,Mard_A18,#FEBE7D,254,190,125
A19,Mard_A19,#FD7C72,253,124,114
A20,Mard_A20,#FFD568,255,213,104
A21,Mard_A21,#FFE395,255,227,149
A22,Mard_A22,#F4F57D,244,245,125
A23,Mard_A23,#E6C9B7,230,201,183
A24,Mard_A24,#F7F8A2,247,248,162
A25,Mard_A25,#FFD67D,255,214,125
A26,Mard_A26,#FFC830,255,200,48
B1,Mard_B1,#E6EE31,230,238,49
B2,Mard_B2,#63F347,99,243,71
B3,Mard_B3,#9EF780,158,247,128
B4,Mard_B4,#5DE035,93,224,53
B5,Mard_B5,#35E352,53,227,82
B6,Mard_B6,#65E2A6,101,226,166
B7,Mard_B7,#3DAF80,61,175,128
B8,Mard_B8,#1C9C4F,28,156,79
B9,Mard_B9,#27523A,39,82,58
B10,Mard_B10,#95D3C2,149,211,194
B11,Mard_B11,#5D722A,93,114,42
B12,Mard_B12,#166F41,22,111,65
B13,Mard_B13,#CAEB7B,202,235,123
B14,Mard_B14,#ADE946,173,233,70
B15,Mard_B15,#2E5132,46,81,50
B16,Mard_B16,#C5ED9C,197,237,156
B17,Mard_B17,#9BB13A,155,177,58
B18,Mard_B18,#E6EE49,230,238,73
B19,Mard_B19,#24B88C,36,184,140
B20,Mard_B20,#C2F0CC,194,240,204
B21,Mard_B21,#156A6B,21,106,107
B22,Mard_B22,#0B3C43,11,60,67
B23,Mard_B23,#303A21,48,58,33
B24,Mard_B24,#EEFCA5,238,252,165
B25,Mard_B25,#4E846D,78,132,109
B26,Mard_B26,#8D7A35,141,122,53
B27,Mard_B27,#CCE1AF,204,225,175
B28,Mard_B28,#9EE5B9,158,229,185
B29,Mard_B29,#C5E254,197,226,84
B30,Mard_B30,#E2FCB1,226,252,177
B31,Mard_B31,#B0E792,176,231,146
B32,Mard_B32,#9CAB5A,156,171,90
C1,Mard_C1,#E8FFE7,232,255,231
C2,Mard_C2,#A9F9FC,169,249,252
C3,Mard_C3,#A0E2FB,160,226,251
C4,Mard_C4,#41CCFF,65,204,255
C5,Mard_C5,#01ACEB,1,172,235
C6,Mard_C6,#50AAF0,80,170,240
C7,Mard_C7,#3677D2,54,119,210
C8,Mard_C8,#0F54C0,15,84,192
C9,Mard_C9,#324BCA,50,75,202
C10,Mard_C10,#3EBCE2,62,188,226
C11,Mard_C11,#28DDDE,40,221,222
C12,Mard_C12,#1C334D,28,51,77
C13,Mard_C13,#CDE8FF,205,232,255
C14,Mard_C14,#D5FDFF,213,253,255
C15,Mard_C15,#22C4C6,34,196,198
C16,Mard_C16,#1557A8,21,87,168
C17,Mard_C17,#04D1F6,4,209,246
C18,Mard_C18,#1D3344,29,51,68
C19,Mard_C19,#1887A2,24,135,162
C20,Mard_C20,#176DAF,23,109,175
C21,Mard_C21,#BEDDFF,190,221,255
C22,Mard_C22,#67B4BE,103,180,190
C23,Mard_C23,#C8E2FF,200,226,255
C24,Mard_C24,#7CC4FF,124,196,255
C25,Mard_C25,#A9E5E5,169,229,229
C26,Mard_C26,#3CAED8,60,174,216
C27,Mard_C27,#D3DFFA,211,223,250
C28,Mard_C28,#BBCFED,187,207,237
C29,Mard_C29,#34488E,52,72,142
D1,Mard_D1,#AEB4F2,174,180,242
D2,Mard_D2,#858EDD,133,142,221
D3,Mard_D3,#2F54AF,47,84,175
D4,Mard_D4,#182A84,24,42,132
D5,Mard_D5,#B843C5,184,67,197
D6,Mard_D6,#AC7BDE,172,123,222
D7,Mard_D7,#8854B3,136,84,179
D8,Mard_D8,#E2D3FF,226,211,255
D9,Mard_D9,#D5B9F8,213,185,248
D10,Mard_D10,#361851,54,24,81
D11,Mard_D11,#B9BAE1,185,186,225
D12,Mard_D12,#DE9AD4,222,154,212
D13,Mard_D13,#B90095,185,0,149
D14,Mard_D14,#8B279B,139,39,155
D15,Mard_D15,#2F1F90,47,31,144
D16,Mard_D16,#E3E1EE,227,225,238
D17,Mard_D17,#C4D4F6,196,212,246
D18,Mard_D18,#A45EC7,164,94,199
D19,Mard_D19,#D8C3D7,216,195,215
D20,Mard_D20,#9C32B2,156,50,178
D21,Mard_D21,#9A009B,154,0,155
D22,Mard_D22,#333A95,51,58,149
D23,Mard_D23,#EBDAFC,235,218,252
D24,Mard_D24,#7786E5,119,134,229
D25,Mard_D25,#494FC7,73,79,199
D26,Mard_D26,#DFC2F8,223,194,248
E1,Mard_E1,#FDD3CC,253,211,204
E2,Mard_E2,#FEC0DF,254,192,223
E3,Mard_E3,#FFB7E7,255,183,231
E4,Mard_E4,#E8649E,232,100,158
E5,Mard_E5,#F551A2,245,81,162
E6,Mard_E6,#F13D74,241,61,116
E7,Mard_E7,#C63478,198,52,120
E8,Mard_E8,#FFDBE9,255,219,233
E9,Mard_E9,#E970CC,233,112,204
E10,Mard_E10,#D33793,211,55,147
E11,Mard_E11,#FCDDD2,252,221,210
E12,Mard_E12,#F78FC3,247,143,195
E13,Mard_E13,#B5006D,181,0,109
E14,Mard_E14,#FFD1BA,255,209,186
E15,Mard_E15,#F8C7C9,248,199,201
E16,Mard_E16,#FFF3EB,255,243,235
E17,Mard_E17,#FFE2EA,255,226,234
E18,Mard_E18,#FFC7DB,255,199,219
E19,Mard_E19,#FEBAD5,254,186,213
E20,Mard_E20,#D8C7D1,216,199,209
E21,Mard_E21,#BD9DA1,189,157,161
E22,Mard_E22,#B785A1,183,133,161
E23,Mard_E23,#937A8D,147,122,141
E24,Mard_E24,#E1BCE8,225,188,232
F1,Mard_F1,#FD957B,253,149,123
F2,Mard_F2,#FC3D46,252,61,70
F3,Mard_F3,#F74941,247,73,65
F4,Mard_F4,#FC283C,252,40,60
F5,Mard_F5,#E7002F,231,0,47
F6,Mard_F6,#943630,148,54,48
F7,Mard_F7,#971937,151,25,55
F8,Mard_F8,#BC0028,188,0,40
F9,Mard_F9,#E2677A,226,103,122
F10,Mard_F10,#8A4526,138,69,38
F11,Mard_F11,#5A2121,90,33,33
F12,Mard_F12,#FD4E6A,253,78,106
F13,Mard_F13,#F35744,243,87,68
F14,Mard_F14,#FFA9AD,255,169,173
F15,Mard_F15,#D30022,211,0,34
F16,Mard_F16,#FEC2A6,254,194,166
F17,Mard_F17,#E69C79,230,156,121
F18,Mard_F18,#D37C46,211,124,70
F19,Mard_F19,#C1444A,193,68,74
F20,Mard_F20,#CD9391,205,147,145
F21,Mard_F21,#F7B4C6,247,180,198
F22,Mard_F22,#FDC0D0,253,192,208
F23,Mard_F23,#F67E66,246,126,102
F24,Mard_F24,#E698AA,230,152,170
F25,Mard_F25,#E54B4F,229,75,79
G1,Mard_G1,#FFE2CE,255,226,206
G2,Mard_G2,#FFC4AA,255,196,170
G3,Mard_G3,#F4C3A5,244,195,165
G4,Mard_G4,#E1B383,225,179,131
G5,Mard_G5,#EDB045,237,176,69
G6,Mard_G6,#E99C17,233,156,23
G7,Mard_G7,#9D5B3E,157,91,62
G8,Mard_G8,#753832,117,56,50
G9,Mard_G9,#E6B483,230,180,131
G10,Mard_G10,#D98C39,217,140,57
G11,Mard_G11,#E0C593,224,197,147
G12,Mard_G12,#FFC890,255,200,144
G13,Mard_G13,#B7714A,183,113,74
G14,Mard_G14,#8D614C,141,97,76
G15,Mard_G15,#FCF9E0,252,249,224
G16,Mard_G16,#F2D9BA,242,217,186
G17,Mard_G17,#78524B,120,82,75
G18,Mard_G18,#FFE4CC,255,228,204
G19,Mard_G19,#E07935,224,121,53
G20,Mard_G20,#A94023,169,64,35
G21,Mard_G21,#B88558,184,133,88
H1,Mard_H1,#FDFBFF,253,251,255
H2,Mard_H2,#FEFFFF,254,255,255
H3,Mard_H3,#B6B1BA,182,177,186
H4,Mard_H4,#89858C,137,133,140
H5,Mard_H5,#48464E,72,70,78
H6,Mard_H6,#2F2B2F,47,43,47
H7,Mard_H7,#000000,0,0,0
H8,Mard_H8,#E7D6DB,231,214,219
H9,Mard_H9,#EDEDED,237,237,237
H10,Mard_H10,#EEE9EA,238,233,234
H11,Mard_H11,#CECDD5,206,205,213
H12,Mard_H12,#FFF5ED,255,245,237
H13,Mard_H13,#F5ECD2,245,236,210
H14,Mard_H14,#CFD7D3,207,215,211
H15,Mard_H15,#98A6A8,152,166,168
H16,Mard_H16,#1D1414,29,20,20
H17,Mard_H17,#F1EDED,241,237,237
H18,Mard_H18,#FFFDF0,255,253,240
H19,Mard_H19,#F6EFE2,246,239,226
H20,Mard_H20,#949FA3,148,159,163
H21,Mard_H21,#FFFBE1,255,251,225
H22,Mard_H22,#CACAD4,202,202,212
H23,Mard_H23,#9A9D94,154,157,148
M1,Mard_M1,#BCC6B8,188,198,184
M2,Mard_M2,#8AA386,138,163,134
M3,Mard_M3,#697D80,105,125,128
M4,Mard_M4,#E3D2BC,227,210,188
M5,Mard_M5,#D0CCAA,208,204,170
M6,Mard_M6,#B0A782,176,167,130
M7,Mard_M7,#B4A497,180,164,151
M8,Mard_M8,#B38281,179,130,129
M9,Mard_M9,#A58767,165,135,103
M10,Mard_M10,#C5B2BC,197,178,188
M11,Mard_M11,#9F7594,159,117,148
M12,Mard_M12,#644749,100,71,73
M13,Mard_M13,#D19066,209,144,102
M14,Mard_M14,#C77362,199,115,98
M15,Mard_M15,#757D78,117,125,120
